<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19841206,000000,0.42286,0.42537,0.42286,0.42286,91376401,0
AAPL.US,D,19841207,000000,0.42286,0.43899,0.41915,0.4216,142425614,0
AAPL.US,D,19841210,000000,0.4216,0.4216,0.41296,0.41296,32108178,0
AAPL.US,D,19841211,000000,0.41296,0.41915,0.40799,0.40799,35649948,0
AAPL.US,D,19841212,000000,0.40799,0.40799,0.39434,0.39434,31701758,0
AAPL.US,D,19841213,000000,0.39809,0.40548,0.39809,0.39809,19250710,0
AAPL.US,D,19841214,000000,0.39809,0.41169,0.39809,0.40799,27689037,0
AAPL.US,D,19841217,000000,0.4179,0.4216,0.4179,0.4179,36069295,0
AAPL.US,D,19841218,000000,0.4427,0.44392,0.4427,0.4427,98085746,0
AAPL.US,D,19841219,000000,0.4427,0.44392,0.42537,0.42537,91440909,0
AAPL.US,D,19841220,000000,0.42537,0.43279,0.42286,0.42286,40275544,0
AAPL.US,D,19841221,000000,0.42286,0.42537,0.41296,0.4179,35682208,0
AAPL.US,D,19841224,000000,0.42537,0.42657,0.42537,0.42537,19450710,0
AAPL.US,D,19841226,000000,0.42657,0.43154,0.42657,0.42657,19347494,0
AAPL.US,D,19841227,000000,0.42905,0.43154,0.42905,0.42905,28443834,0
AAPL.US,D,19841228,000000,0.42905,0.44643,0.42657,0.44392,47617134,0
AAPL.US,D,19841231,000000,0.45014,0.45261,0.45014,0.45014,59835922,0
AAPL.US,D,19850102,000000,0.45014,0.45014,0.43154,0.43154,50487958,0
AAPL.US,D,19850103,000000,0.43899,0.45014,0.43899,0.43899,47984849,0
AAPL.US,D,19850104,000000,0.43899,0.44144,0.43279,0.43899,39533635,0
AAPL.US,D,19850107,000000,0.43899,0.44144,0.43653,0.43653,49223523,0
AAPL.US,D,19850108,000000,0.43653,0.44144,0.43279,0.43279,40643255,0
AAPL.US,D,19850109,000000,0.44392,0.45014,0.44392,0.44392,48017129,0
AAPL.US,D,19850110,000000,0.46381,0.46505,0.46381,0.46381,79796289,0
AAPL.US,D,19850111,000000,0.46381,0.46761,0.45508,0.46007,59055319,0
AAPL.US,D,19850114,000000,0.47246,0.47737,0.47246,0.47246,77886681,0
AAPL.US,D,19850115,000000,0.47246,0.48111,0.46381,0.46381,76312573,0
AAPL.US,D,19850116,000000,0.46761,0.47502,0.46761,0.46761,54687777,0
AAPL.US,D,19850117,000000,0.46761,0.47502,0.43401,0.43401,157689413,0
AAPL.US,D,19850118,000000,0.43401,0.45261,0.43279,0.4427,101569469,0
AAPL.US,D,19850121,000000,0.45261,0.45508,0.45261,0.45261,93724669,0
AAPL.US,D,19850122,000000,0.46505,0.46761,0.46505,0.46505,122355602,0
AAPL.US,D,19850123,000000,0.46505,0.46761,0.45753,0.45753,123987792,0
AAPL.US,D,19850124,000000,0.45753,0.45753,0.4489,0.4489,114355953,0
AAPL.US,D,19850125,000000,0.4489,0.45753,0.43899,0.45753,91718313,0
AAPL.US,D,19850128,000000,0.46761,0.47246,0.46761,0.46761,118710592,0
AAPL.US,D,19850129,000000,0.46761,0.47129,0.46249,0.46249,64435721,0
AAPL.US,D,19850130,000000,0.46249,0.47129,0.46249,0.46249,141825662,0
AAPL.US,D,19850131,000000,0.46249,0.46381,0.4489,0.4489,79557593,0
AAPL.US,D,19850201,000000,0.4489,0.45014,0.43899,0.4427,39669124,0
AAPL.US,D,19850204,000000,0.45261,0.45388,0.45261,0.45261,62790611,0
AAPL.US,D,19850205,000000,0.45508,0.46381,0.45508,0.45508,54732932,0
AAPL.US,D,19850206,000000,0.46381,0.46381,0.46381,0.46381,55997381,0
AAPL.US,D,19850207,000000,0.46381,0.46997,0.46249,0.46249,70699931,0
AAPL.US,D,19850208,000000,0.46249,0.46381,0.45508,0.46249,38024032,0
AAPL.US,D,19850211,000000,0.47129,0.47502,0.47129,0.47129,99924370,0
AAPL.US,D,19850212,000000,0.47129,0.47246,0.46007,0.46007,65235675,0
AAPL.US,D,19850213,000000,0.46007,0.46007,0.43899,0.43899,151786473,0
AAPL.US,D,19850214,000000,0.43899,0.4427,0.42657,0.42657,122929744,0
AAPL.US,D,19850215,000000,0.42657,0.43401,0.42286,0.43279,50004119,0
AAPL.US,D,19850219,000000,0.43154,0.43154,0.42657,0.42657,43152817,0
AAPL.US,D,19850220,000000,0.42657,0.42905,0.40799,0.40799,63351890,0
AAPL.US,D,19850221,000000,0.41543,0.4179,0.41543,0.41543,88770066,0
AAPL.US,D,19850222,000000,0.41543,0.43154,0.41543,0.42657,65242120,0
AAPL.US,D,19850225,000000,0.42657,0.42905,0.4216,0.4216,28379318,0
AAPL.US,D,19850226,000000,0.4216,0.42286,0.41296,0.41296,54423263,0
AAPL.US,D,19850227,000000,0.41296,0.41296,0.38811,0.38811,116233302,0
AAPL.US,D,19850228,000000,0.38811,0.38811,0.38193,0.38193,91892494,0
AAPL.US,D,19850301,000000,0.38193,0.38442,0.37076,0.38442,71261190,0
AAPL.US,D,19850304,000000,0.3906,0.40177,0.3906,0.3906,44094722,0
AAPL.US,D,19850305,000000,0.40056,0.40056,0.40056,0.40056,37662757,0
AAPL.US,D,19850306,000000,0.40056,0.40056,0.38072,0.38072,55758683,0
AAPL.US,D,19850307,000000,0.38072,0.38193,0.34224,0.34224,211390157,0
AAPL.US,D,19850308,000000,0.34224,0.34224,0.31995,0.33233,136387186,0
AAPL.US,D,19850311,000000,0.3435,0.34599,0.3435,0.3435,82370355,0
AAPL.US,D,19850312,000000,0.35591,0.35962,0.35591,0.35591,63197054,0
AAPL.US,D,19850313,000000,0.35591,0.35591,0.33603,0.33603,72325673,0
AAPL.US,D,19850314,000000,0.33603,0.33855,0.33603,0.33603,69583852,0
AAPL.US,D,19850315,000000,0.33603,0.35715,0.33358,0.34968,52249170,0
AAPL.US,D,19850318,000000,0.3534,0.35715,0.3534,0.3534,35933812,0
AAPL.US,D,19850319,000000,0.3534,0.35715,0.33977,0.33977,49378342,0
AAPL.US,D,19850320,000000,0.3435,0.34968,0.3435,0.3435,116633283,0
AAPL.US,D,19850321,000000,0.34968,0.35591,0.34968,0.34968,46791378,0
AAPL.US,D,19850322,000000,0.34968,0.35591,0.3435,0.3435,23147318,0
AAPL.US,D,19850325,000000,0.3435,0.3435,0.33358,0.33358,31669484,0
AAPL.US,D,19850326,000000,0.34845,0.34845,0.34845,0.34845,34972571,0
AAPL.US,D,19850327,000000,0.34845,0.35093,0.33855,0.33855,32069482,0
AAPL.US,D,19850328,000000,0.33855,0.3435,0.33855,0.33855,37327291,0
AAPL.US,D,19850329,000000,0.33855,0.3435,0.33855,0.34224,25108501,0
AAPL.US,D,19850401,000000,0.34224,0.34968,0.33358,0.33358,32850088,0
AAPL.US,D,19850402,000000,0.33358,0.33603,0.3249,0.3249,65500170,0
AAPL.US,D,19850403,000000,0.3249,0.32613,0.3249,0.3249,69887060,0
AAPL.US,D,19850404,000000,0.3249,0.32613,0.31868,0.32244,46617186,0
AAPL.US,D,19850408,000000,0.32244,0.3249,0.30259,0.30259,57236045,0
AAPL.US,D,19850409,000000,0.30259,0.30508,0.30259,0.30259,76002917,0
AAPL.US,D,19850410,000000,0.3249,0.32861,0.3249,0.3249,65351802,0
AAPL.US,D,19850411,000000,0.33107,0.33977,0.33107,0.33107,42243201,0
AAPL.US,D,19850412,000000,0.33107,0.33107,0.31995,0.32244,20889346,0
AAPL.US,D,19850415,000000,0.33107,0.33358,0.33107,0.33107,17231454,0
AAPL.US,D,19850416,000000,0.33358,0.33603,0.33358,0.33358,19482977,0
AAPL.US,D,19850417,000000,0.34968,0.3534,0.34968,0.34968,35495122,0
AAPL.US,D,19850418,000000,0.3534,0.35591,0.3534,0.3534,58300507,0
AAPL.US,D,19850419,000000,0.3534,0.3534,0.34599,0.34845,27656779,0
AAPL.US,D,19850422,000000,0.34845,0.34845,0.33358,0.33358,29547008,0
AAPL.US,D,19850423,000000,0.34224,0.3435,0.34224,0.34224,34069374,0
